Defined Class,Method ID,Line Number,Path
ActiveSupport::Cache::Strategy::LocalCache::Middleware,call,81,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/activesupport-4.0.4/lib/active_support/cache/strategy/local_cache.rb
ActiveSupport::Cache::Strategy::LocalCache::LocalStore,initialize,31,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/activesupport-4.0.4/lib/active_support/cache/strategy/local_cache.rb
ActiveSupport::Cache::Store,initialize,165,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/activesupport-4.0.4/lib/active_support/cache.rb
#<Class:ActiveSupport::Cache::Strategy::LocalCache::LocalCacheRegistry>,set_cache_for,82,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/activesupport-4.0.4/lib/active_support/cache/strategy/local_cache.rb
ActiveSupport::PerThreadRegistry,per_thread_registry_instance,48,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/activesupport-4.0.4/lib/active_support/per_thread_registry.rb
ActiveSupport::Cache::Strategy::LocalCache::LocalCacheRegistry,set_cache_for,23,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/activesupport-4.0.4/lib/active_support/cache/strategy/local_cache.rb
Rack::Runtime,call,15,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/rack-1.5.2/lib/rack/runtime.rb
Rack::MethodOverride,call,12,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/rack-1.5.2/lib/rack/methodoverride.rb
Rack::MethodOverride,method_override,24,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/rack-1.5.2/lib/rack/methodoverride.rb
Rack::Request,initialize,20,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/rack-1.5.2/lib/rack/request.rb
Rack::Request,POST,196,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/rack-1.5.2/lib/rack/request.rb
Rack::Request,form_data?,170,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/rack-1.5.2/lib/rack/request.rb
Rack::Request,media_type,46,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/rack-1.5.2/lib/rack/request.rb
Rack::Request,content_type,31,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/rack-1.5.2/lib/rack/request.rb
Rack::Request,content_type,31,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/rack-1.5.2/lib/rack/request.rb
Rack::Request,parse_multipart,376,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/rack-1.5.2/lib/rack/request.rb
#<Class:Rack::Multipart>,parse_multipart,24,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/rack-1.5.2/lib/rack/multipart.rb
