Defined Class,Method ID,Line Number,Path
ActiveSupport::Cache::Strategy::LocalCache::Middleware,call,81,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/activesupport-4.0.4/lib/active_support/cache/strategy/local_cache.rb
ActiveSupport::Cache::Strategy::LocalCache::LocalStore,initialize,31,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/activesupport-4.0.4/lib/active_support/cache/strategy/local_cache.rb
ActiveSupport::Cache::Store,initialize,165,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/activesupport-4.0.4/lib/active_support/cache.rb
#<Class:ActiveSupport::Cache::Strategy::LocalCache::LocalCacheRegistry>,set_cache_for,82,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/activesupport-4.0.4/lib/active_support/cache/strategy/local_cache.rb
ActiveSupport::PerThreadRegistry,per_thread_registry_instance,48,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/activesupport-4.0.4/lib/active_support/per_thread_registry.rb
ActiveSupport::Cache::Strategy::LocalCache::LocalCacheRegistry,set_cache_for,23,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/activesupport-4.0.4/lib/active_support/cache/strategy/local_cache.rb
Rack::Runtime,call,15,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/rack-1.5.2/lib/rack/runtime.rb
Rack::MethodOverride,call,12,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/rack-1.5.2/lib/rack/methodoverride.rb
ActionDispatch::RequestId,call,19,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/actionpack-4.0.4/lib/action_dispatch/middleware/request_id.rb
ActionDispatch::RequestId,external_request_id,25,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/actionpack-4.0.4/lib/action_dispatch/middleware/request_id.rb
Object,presence,37,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/activesupport-4.0.4/lib/active_support/core_ext/object/blank.rb
Object,present?,19,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/activesupport-4.0.4/lib/active_support/core_ext/object/blank.rb
NilClass,blank?,46,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/activesupport-4.0.4/lib/active_support/core_ext/object/blank.rb
ActionDispatch::RequestId,internal_request_id,31,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/gems/2.1.0/gems/actionpack-4.0.4/lib/action_dispatch/middleware/request_id.rb
#<Class:SecureRandom>,uuid,241,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/2.1.0/securerandom.rb
#<Class:SecureRandom>,random_bytes,50,/Users/simeon/.rbenv/versions/2.1.1/lib/ruby/2.1.0/securerandom.rb
